,empty_slots,free_bikes,station_id,latitude,longitude,station_name,poi_id,poi_name,review_count,rating,price,distance,full_address
35,32,3,cd881edad122a75c57d94b381cdfc6c0,43.269288276229105,-79.87132698297499,Bayfront Park,WZy6T1GoC_IphM9d4oZh-w,Wild Orchid,17.0,3.0,2,786.739783297374,"['286 James St N', 'Hamilton, ON L8R 2L3', 'Canada']"
36,32,3,cd881edad122a75c57d94b381cdfc6c0,43.269288276229105,-79.87132698297499,Bayfront Park,zXeMrIjynsnFdwfN38FMLg,Loaded Pierogi,4.0,4.0,0,733.6794097919012,"['275 James Street N', 'Unit 3', 'Hamilton, ON L8R 2L4', 'Canada']"
37,32,3,cd881edad122a75c57d94b381cdfc6c0,43.269288276229105,-79.87132698297499,Bayfront Park,AzI0Gtzjf5iWjstaNUGR-Q,Stonewalls Restaurant,36.0,2.5,2,898.2280050302571,"['339 York Boulevard', 'Hamilton, ON L8R 2X9', 'Canada']"
38,32,3,cd881edad122a75c57d94b381cdfc6c0,43.269288276229105,-79.87132698297499,Bayfront Park,HX6nuqwQYi4TgHZDxw8iiA,The Brain,19.0,4.0,1,893.2779639162636,"['199 James St N', 'Hamilton, ON L8R 2L1', 'Canada']"
39,32,3,cd881edad122a75c57d94b381cdfc6c0,43.269288276229105,-79.87132698297499,Bayfront Park,XgIuY0bC1b9qxXWQXibScg,Gate of India,26.0,3.0,2,901.0291172152656,"['201 James Street N', 'Hamilton, ON L8R 2L2', 'Canada']"
40,18,6,024a3edf037cb411d16acc08a7fcb954,43.26785864558976,-79.8679232597351,Bay at Strachan,CH4A4Aa--t0A7bP1VfkMrA,Charred Chicken,118.0,4.0,2,583.0459379057457,"['244 James Street N', 'Hamilton, ON L8R 2L2', 'Canada']"
41,18,6,024a3edf037cb411d16acc08a7fcb954,43.26785864558976,-79.8679232597351,Bay at Strachan,hqNHaNUTkM_WpzMdfNBWMA,Synonym,12.0,4.5,0,417.3937021756852,"['328 James Street N', 'Hamilton, ON L8L 1H2', 'Canada']"
42,18,6,024a3edf037cb411d16acc08a7fcb954,43.26785864558976,-79.8679232597351,Bay at Strachan,EGutBSi1dgdaJoLu-LdsTw,August 8,123.0,4.0,2,935.608571445336,"['1 Wilson Street', 'Suite 12', 'Hamilton, ON L8R', 'Canada']"
43,18,6,024a3edf037cb411d16acc08a7fcb954,43.26785864558976,-79.8679232597351,Bay at Strachan,iAxN1bz9JBSG_S1naWHNuw,The Burnt Tongue,89.0,4.0,1,813.4479944796863,"['10 Cannon St E', 'Hamilton, ON L8L 1Z5', 'Canada']"
44,18,6,024a3edf037cb411d16acc08a7fcb954,43.26785864558976,-79.8679232597351,Bay at Strachan,TxrfCuyQThzsFUlcFqdqSw,Saint James Espresso Bar & Eatery,57.0,4.5,2,764.659481259404,"['170 James Street N', 'Hamilton, ON L8R 2L1', 'Canada']"
45,18,6,024a3edf037cb411d16acc08a7fcb954,43.26785864558976,-79.8679232597351,Bay at Strachan,vqyK2q3zJ74TIT1-7Bf3Tg,La Luna,65.0,4.0,2,1269.5961780311338,"['306 King Street W', 'Hamilton, ON L8P 1B1', 'Canada']"
