,poi_id,name,review_count,rating,price,distance,full_address,station_id
19,XgIuY0bC1b9qxXWQXibScg,Gate of India,26.0,3.0,$$,901.0291172152656,"['201 James Street N', 'Hamilton, ON L8R 2L2', 'Canada']",cd881edad122a75c57d94b381cdfc6c0
0,CH4A4Aa--t0A7bP1VfkMrA,Charred Chicken,118.0,4.0,$$,583.0459379057457,"['244 James Street N', 'Hamilton, ON L8R 2L2', 'Canada']",024a3edf037cb411d16acc08a7fcb954
1,hqNHaNUTkM_WpzMdfNBWMA,Synonym,12.0,4.5,,417.39370217568523,"['328 James Street N', 'Hamilton, ON L8L 1H2', 'Canada']",024a3edf037cb411d16acc08a7fcb954
2,EGutBSi1dgdaJoLu-LdsTw,August 8,123.0,4.0,$$,935.608571445336,"['1 Wilson Street', 'Suite 12', 'Hamilton, ON L8R', 'Canada']",024a3edf037cb411d16acc08a7fcb954
3,iAxN1bz9JBSG_S1naWHNuw,The Burnt Tongue,89.0,4.0,$,813.4479944796863,"['10 Cannon St E', 'Hamilton, ON L8L 1Z5', 'Canada']",024a3edf037cb411d16acc08a7fcb954
4,TxrfCuyQThzsFUlcFqdqSw,Saint James Espresso Bar & Eatery,57.0,4.5,$$,764.659481259404,"['170 James Street N', 'Hamilton, ON L8R 2L1', 'Canada']",024a3edf037cb411d16acc08a7fcb954
5,vqyK2q3zJ74TIT1-7Bf3Tg,La Luna,65.0,4.0,$$,1269.5961780311338,"['306 King Street W', 'Hamilton, ON L8P 1B1', 'Canada']",024a3edf037cb411d16acc08a7fcb954
6,ouKTL8ajZ2BGPRf33xwGWA,Pho Nhung,18.0,4.5,,1030.7711263594738,"['85 Queen St N', 'Hamilton, ON L8R 2V5', 'Canada']",024a3edf037cb411d16acc08a7fcb954
7,RRnbO5NZq716CC8emwWedg,Mulberry Coffeehouse,76.0,4.0,$$,679.5655940089003,"['193 James Street N', 'Hamilton, ON L8R 2L2', 'Canada']",024a3edf037cb411d16acc08a7fcb954
8,9SSQNmfpLEK_p3otvMVy9Q,Born and Raised,25.0,4.0,$$,618.1429753305657,"['224 James Street N', 'Hamilton, ON L8R 2L3', 'Canada']",024a3edf037cb411d16acc08a7fcb954
9,ItFdUxjIkl4OTXiKQ1nNHw,Harbour Diner,58.0,4.0,$$,411.0870863078402,"['486 James Street N', 'Hamilton, ON L8L 1J1', 'Canada']",024a3edf037cb411d16acc08a7fcb954
10,Q3urZhGC4If6AGEhzDVqnQ,Green Bar,17.0,4.5,$,583.2430979153173,"['236 James Street N', 'Hamilton, ON L8R 2L2', 'Canada']",024a3edf037cb411d16acc08a7fcb954
11,YGPmtIFExK1InW_zafl4MA,Mesa,57.0,4.0,$$,545.6792225235715,"['255 James Street N', 'Hamilton, ON L8R 2L2', 'Canada']",024a3edf037cb411d16acc08a7fcb954
12,dxsrhzpSxY9wDGbZxhIjHQ,The Coop,43.0,4.0,$$,1238.926704137823,"['274-274 King Street W', 'Hamilton, ON L8P 1J6', 'Canada']",024a3edf037cb411d16acc08a7fcb954
13,IeE9weFnbVhyH4W5r8sHqg,Hutch's Harbour Front,17.0,2.5,$,29.01476989911075,"['325 Bay Street N', 'Hamilton, ON L8L 1M5', 'Canada']",024a3edf037cb411d16acc08a7fcb954
14,KlShqEAvqRFUYJafx56tkQ,Pho Hamilton,6.0,4.5,,764.8468888985551,"['115 Park Street N', 'Hamilton, ON L8R 2N2', 'Canada']",024a3edf037cb411d16acc08a7fcb954
15,0vw6fL9m6j_9U4vonPKwGg,Buona Vita Pizza,13.0,4.5,$,1016.3837198066152,"['82 Queen Street  N', 'Hamilton, ON L8R 2V4', 'Canada']",024a3edf037cb411d16acc08a7fcb954
16,Bm4N2Sgc5Q5FHthjmWkvQQ,Castelli Cucina,10.0,3.5,,375.9772624234339,"['337 James Street N', 'Hamilton, ON L8L 1H3', 'Canada']",024a3edf037cb411d16acc08a7fcb954
17,AQ1M0uYOsgNlynTg8lBSmA,Pho Dui Bo,28.0,3.5,$,792.80468575968,"['15 Cannon Street E', 'Unit 2', 'Hamilton, ON L8L', 'Canada']",024a3edf037cb411d16acc08a7fcb954
18,WZy6T1GoC_IphM9d4oZh-w,Wild Orchid,17.0,3.0,$$,515.211640399055,"['286 James St N', 'Hamilton, ON L8R 2L3', 'Canada']",024a3edf037cb411d16acc08a7fcb954
19,uKVClBhMS6aepljE3Uk-sA,NOODLE ME,24.0,4.0,,935.608571445336,"['1 Wilson Street', 'Unit 7', 'Hamilton, ON L8R 1C4', 'Canada']",024a3edf037cb411d16acc08a7fcb954
